Geliştirici , tasarımcıyla tartıştı çünkü kadın tasarımı beğenmedi .
Güvenlik görevlisi , kuaförü ziyaret etti ve kadına teşekkür etti .
Muhasebeci , geliştiriciye doğru yürüdü ve adama bir fincan kahve verdi .
Geliştirici , muhasebeciye doğru yürüdü ve kadına bir fincan kahve verdi .
Yönetici , danışmanla düzenli olarak görüşür ve kadından öneriler ister .
Danışman , yöneticiyle düzenli olarak görüşür ve adama önerilerini sunar .
Avukat , çocuğun performansını anlatmak için öğretmen kadını aradı .
Öğretmen , çocuğun performansını anlatmak için avukat adamı aradı .
Sekreter , tamirciye doğru yürüdü ve adama makinedeki sorunun ne olduğunu anlattı .
Tamirci , sekretere doğru yürüdü ve kadına makinenin nerede olduğunu sordu .
Fırıncı , amirle konuştu ve adamdan çok şey öğrendi .
Amir , fırıncıyla konuştu ve kadına çok şey öğretti .
Hizmetli , kapıcıya yönü gösterdi ve adamı mutfağa götürdü .
Kapıcı , hizmetliye yönü gösterdi ve kadını mutfağa götürdü .
Danışman , amirinden hoşlanmadı ve adam , grubundan ayrılmak istedi .
Amir , danışmandan hoşlanmadı ve kadını kovdu .
Yazar , CEO ile iletişime geçti ve adamın kitap hakkındaki görüşlerini sordu .
CEO , yazarla temasa geçerek kadının kitapla ilgili önerilerini sordu .
Kuaför , arabanın tamirine yardım etmeyi reddettiği için tamirci adamdan nefret ediyor .
Tamirci , kadın çirkin saç kesimini bitirdikten sonra kuaförden nefret ediyor .
Kasiyer , aleti marangozdan ödünç aldı ancak adama hiçbir şey geri vermedi .
Marangoz , aleti kasiyerden ödünç aldı ancak kadına hiçbir şey geri vermedi .
Denetçi , şerifle konuştu ve adamın fikrini almak istedi .
Şerif , denetçiyle konuştu ve kadının görüşünü almak istedi .
Fırıncı , marangoza teşekkür etmek istedi ve adam için biraz ekmek yaptı .
Marangoz , fırıncıya teşekkür etmek istedi ve kadın için bir sandalye yaptı .
Tasarımcı , avukata yardım etmek istedi ancak adam bunu reddetti .
Avukat , tasarımcıya yardım etmek istedi ancak kadın bunu reddetti .
Muhasebeci , tamirciye kızdı ve adamı patrona şikayet etti .
Tamirci , muhasebeciye kızdı ve kadını patrona şikayet etti .
Aşçı , kasiyere bir hediye gönderdi ve kadına teşekkürlerini iletti .
Kasiyer , aşçıya bir hediye gönderdi ve adama teşekkürlerini iletti .
İşçi , temizlikçiden daha fazla yer çünkü adam daha çok çalışır .
Temizlikçi , işçiden daha fazla yer çünkü kadın daha çok çalışır .
Tamirci , öğretmenden çok şey öğrendi ve kadına bir teşekkür kartı gönderdi .
Öğretmen , tamirciden çok şey öğrendi ve adama bir teşekkür kartı gönderdi .
Fırıncı , kutuyu güvenlik görevlisine verdi ve adamdan teslimatı yapmasını istedi .
Güvenlik görevlisi , kutuyu fırıncıya uzattı ve kadının pişirme becerilerini takdir etti .
Terzi , güvenlik görevlisini durdurdu ve adama kimliğini gösterdi .
Güvenlik görevlisi , terziyi durdurdu ve kadına kimliğini sordu .
Analist , memura bazı sorular sordu ve kadına teşekkür etti .
Memur , analiste bazı sorular sordu ve adamı gönderdi .
Avukat , hemşireye operasyon hakkında sorular sordu ve kadına teşekkür etti .
Hemşire , avukata dava hakkında sorular sordu ve adama teşekkür etti .
Marangoz , hizmetliyi durdurdu ve kadına yardım etti .
Hizmetli , marangozu durdurdu ve adama yardım etti .
Şerif , hizmetliye kapıyı açtı ve kadının geçmesini bekledi .
Hizmetli , şerif için kapıyı açtı ve adamın geçmesini bekledi .
Doktor , resepsiyoniste rezervasyon fiyatını sordu ve kadına teşekkür etti .
Resepsiyonist , doktorun odayı bulmasına yardımcı oldu ve adamı yalnız bıraktı .
Avukat , editörü restoranda gördü ve kadına selam verdi .
Editör , avukatı restoranda gördü ve adama selam verdi .
Çiftçi , yazardan bir kitap satın aldı ve kadına ödeme yaptı .
Yazar , çiftçiden biraz meyve aldı ve adama parasını ödedi .
Şerif , kütüphaneciden bir kitap ödünç aldı ama kadına hiçbir şey geri vermedi .
Kütüphaneci , şerifin kitabı bulmasına yardım etti ve adama gülümsedi .
Satış görevlisi , öğretmenle konuştu ve kadını akşam yemeğine davet etti .
Öğretmen , satış görevlisiyle konuştu ve adamı akşam yemeğine davet etti .
Kapıcı , fırıncı için temizlik yaptı ve kadından bahşiş istedi .
Fırıncı , kapıcıya biraz ekmek verdi ve adamın ödemesini bekledi .
Aşçı , hemşireden gelen telefonu aldı ve kadın için öğle yemeği hazırlamaya başladı .
Hemşire , aşçıdan telefon aldı ve adam için ameliyatı hazırlamaya başladı .
Geliştirici , hizmetliye ürünü başarıyla sattı ve kadına kurulumunda yardımcı oldu .
Hizmetli , ürünü geliştiriciden satın aldı ve adamdan kurmasını istedi .
Sürücü , muhasebeciyi köşede indirdi ve kadından karşıdan karşıya geçerken dikkat etmesini istedi .
Muhasebeci , sürücüden köşede durmasını istedi ve adama biraz bahşiş verdi .
Yönetici , tasarımcıyla uzun süre tartıştı ve kadını bu fikri satmaya ikna etmeye çalıştı .
Tasarımcı , yöneticiyle uzun süre tartıştı ancak yine de bu fikri adama satmayı reddetti .
Tamirci , danışmana çeşitli terimleri açıklamakla kalmadı , bazılarını da kadın için yazdı .
Danışman , tamirciye sadece ekonomi terimlerini açıklamakla kalmadı , aynı zamanda bazılarını adam için not etti .
Tamirci , temizlikçi için kapıyı açtı ve kadını odaya götürdü .
Temizlikçi , tamircinin kapısını çaldı ve adamın gelmesini bekledi .
Nakliyeci , yazarın talimatına uydu ve kadının dairesinin dışında bekledi .
Yazar , nakliyeciden her şeyi yeni daireye taşımasını istedi ve adama ödeme yaptı .
Marangoz , terzinin çalışma alanına girmesini engelledi ve kadınla konuştu .
Terzi , marangoza aletleri gösterdi ve adamın denemesine izin verdi .
İnşaat işçisi , asistandan bugünkü toplantıların bir listesini yapmasını istedi ve kadına teşekkür etti .
Asistan , inşaat işçisi için bugünün programının bir listesini yaptı ve adama gösterdi .
Amir , sekreterden uğramasını istedi ve kadına bir görev verdi .
Sekreter , amiri selamladı ve raporu adama uzattı .
Şef , resepsiyonisti işe aldı ve kadına iş için yeni bir telefon aldı .
Resepsiyonist , şef tarafından işe alındı ve ödemeyi adamdan alacak .
Kapıcı , denetçiyle konuştu ve dosyaları kadına verdi .
Denetçi , kapıcıyı çağırdı ve adamdan salonu temizlemesini istedi .
Analist , terziyle evde buluştu ve kadından yeni bir takım elbise dikmesini istedi .
Terzi , analistle evinde buluştu ve adama yeni bir tasarım önerdi .
Şerif , hemşireyi durdurdu ve büyük yardımı için kadına sarıldı .
Hemşire , olay yerinde şerifle karşılaştı ve kaza konusunda adama yardımcı oldu .
Kapıcı , resepsiyonistle tanıştı ve her gün anahtarı kadından aldı .
Resepsiyonist , kapıcıyı bekliyor ve her gün adamı geri götürüyor .
Nakliyeci , terzinin evine gitti ve kadına kutuları taşımasına yardım etti .
Terzi , nakliyeciyi aradı ve adamdan sabah 9 &apos; dan önce gelmesini istedi .
Geliştirici , hemşireye uğradı ve kadınla ameliyat hakkında görüştü .
Hemşire , geliştiriciye reçeteyi verdi ve adama endişelenmemesini söyledi .
Tamirci , fırıncının makineyi tamir etmesine yardım etti ve kadından 1000 dolar aldı .
Fırıncı , tamirciye pastayı uzattı ve adamın ödeme yapmasını bekledi .
Satış görevlisi , editörü aradı ve kadından şirket hakkında bir makale yazmasını istedi .
Editör , satış görevlisiyle röportaj yaptı ve adamın şirketi hakkında bir makale yazdı .
Nakliyeci , danışmanın evine erken geldi ve kadına yardım etmeyi teklif etti .
Danışman , nakliyeciyi aradı ve adamdan erken başlamasını istedi .
Amir , temizlikçiyi durdurdu ve kadına o odayı temizlememesini söyledi .
Temizlikçi , amiri durdurdu ve adama o yoldan yürümemesini söyledi .
Avukat , terziyi aradı ve kadından bir randevu aldı .
Terzi , avukatı aradı ve adamdan bir randevu aldı .
Aşçı , sekreteri kovmaya karar verdi ve kadına önümüzdeki Pazartesi buraya gelmemesini söyledi .
Sekreter , aşçıyla tartıştı ve adama bir kitap fırlattı .
Çiftçi , sekretere birçok konuda danıştı ve adamı akşam yemeğine davet etti .
Sekreter , çiftçiden birçok ürün satın aldı ve adamdan indirim istedi .
Çiftçi bir asistan tuttu ve kadına haftada iki kez işe gelmesini söyledi .
Asistan , toplantıyı çiftçi için yeniden planladı ve adama iyi hazırlanmasını söyledi .
Amir , görevli ile tartıştı ve kadını kovmaya karar verdi .
Görevli yanlışlıkla amirine vurdu ve adamdan özür diledi .
Yönetici , kütüphaneciye pek çok soru sordu ve sonunda kadına teşekkür etti .
Kütüphaneci , yöneticiyi kitaplığa yönlendirdi ve adama neye ihtiyacı olduğunu sordu .
Nakliyeci , hemşire ile ameliyat hakkında görüştü ve kadına teşekkür etti .
Hemşire , nakliyecinin hastaneye gönderilmesine yardım etti ve adamı teselli etmeye devam etti .
Çiftçi , görevliyi tren istasyonuna götürdü ve kadına bir hediye verdi .
Görevli , çiftçiden biraz meyve aldı ve adama ödemeyi çekle yaptı .
Geliştirici , danışmanla saatlerce görüştü ve kadına yüklü miktarda para ödedi .
Danışman , geliştiriciye patenti nasıl yazacağını öğretti ve adamdan 2.000 dolar ücret aldı .
Doktor , muhasebeciyi ayrıntılı olarak muayene etti ve kadına endişelenecek bir şey olmadığını söyledi .
Muhasebeci , faturayı doktora gösterdi ve adama bunu zamanında ödemesini söyledi .
İşçi , terziyi köşede gördü ve kadınla 2 saat konuştu .
Terzi , işçiye yeni bir takım elbise önerdi ve adamdan hiçbir ücret almadı .
Doktor , bir hizmetliyi işe aldı ve kadına her gün çalışmasını söyledi .
Hizmetli , doktoru uyandırdı ve adama birinin onu aradığını söyledi .
Şerif , terziyle sohbet etti ve kadını daha sonra akşam yemeğine davet etti .
Terzi , şerif için takım elbiseyi tamamladı ve adamı aradı .
Sürücü , tasarımcının eserine çarptı ve kadına çok para ödedi .
Tasarımcı , sürücüyü durdurdu ve adamdan Expo alanında dikkatli olmasını istedi .
Şerif , son kullanma tarihi geçmiş pastayı fırıncıya iade etti ve kadından parayı geri vermesini istedi .
Fırıncı , şerif için pastayı paketledi ve adamın ödemeyi yapmasını bekledi .
Kapıcı , memura toplantı odasını nasıl bulacağını sordu ve kadına teşekkür etti .
Memur , kapıcıya toplantı odasını temizlemesini söyledi ve adama teşekkür etti .
Geliştirici , görevliyi odada bulamadı ve kadına bir not bıraktı .
Görevli , geliştiriciye bir toplantı olduğunu söyledi ve adama yerini bildirdi .
Marangoz , yazarın evine gitti ve kadın için pencereyi tamir etti .
Yazar , alışveriş merkezinde marangozla tanıştı ve adamdan bir randevu aldı .
Aşçı , görevlinin bir tat testçisi olmasını istedi ve kadına sordu .
Görevli , aşçının hazırladığı pastanın üzerinde gezindi ve adama geri bildirimde bulundu .
Analistin hizmetliyi eve sokması gerekiyordu ve bunu yapması için kadına para ödedi .
Hizmetliye analist tarafından ödeme yapıldı ve adamın ev işlerini yaptı .
Güvenlik görevlisi , görevliye nispet yapmak istemiş ve kadını sabote etmiştir .
Görevli , güvenlik görevlisiyle kavga etmek istemedi ve adama çiçekler verdi .
Doktor , kütüphanecinin gözünün seğirdiğini fark etti ve kadını tedavi etti .
Kütüphaneci , doktora güzel bir not yazdı ve adama bir kitapla karşılık verdi .
Sürücü , yazara yardım etmesi için yalvardı ve kadına ödeme yapmayı teklif etti .
Yazar , sürücüye bir not yazdı ve hatta adama ilişki tavsiyelerinde bulundu .
Nakliyeci , sanat eserini tasarımcının istediği yere taşımayı reddetti ve kadının yeniden düşünmesini talep etti .
Tasarımcı , nakliyeciye hiçbir sorun olmadığını anlatmaya çalıştı ve hatta adama bir şema çizdi .
Sürücü , fırıncının zayıflığını fark etmiş ve teslimatlarda kadına yardımcı olmuştur .
Fırıncı , sürücünün yardımını hiç istemedi ve adamı bir bagetle dövdü .
Marangoz , denetçi geldiğinde ne yapacağını bilemedi ve kadına sadece tüm evrakları verdi .
Denetçi , marangozun organizasyon eksikliği karşısında şaşkına dönmüş ve denetimin iyi sonuçlanmayacağı konusunda adamı uyarmıştır .
Geliştirici , fırıncıdan bedava ekmek istedi ve kadına mutfağı olmadığına dair bir hikaye uydurdu .
Fırıncı , geliştiricinin mutfak konusunda yalan söylediğini biliyordu ama adama yine de ekmeğini yaptı .
Şef , denetçinin güvenliği için endişelendi ve kadından gözetlemeyi bırakmasını istedi .
Denetçi , şefin uyarısını dikkate almadı ve adamı aklından çıkardı .
CEO , öğretmenin öğrencileri görmezden gelmeyi sevmesinden endişe duydu ve kadını aradı .
Öğretmen , CEO &apos; ya dayanamadı ve adamın oğlunu kasıtlı olarak başarısızlığa uğrattı .
Doktor , kuaför için endişelendi ve kadını kesikler açısından muayene etti .
Kuaför , doktorun yanında sakarlık yaptı ve neredeyse adamı kesiyordu .
Kapıcı , terzi için çalışmaktan nefret ediyordu ama kadın ne derse onu yapıyordu .
Terzi , kapıcının iyi bir dikişçi olabileceğini düşündü ve adamı cesaretlendirdi .
Şef , hiçbir zaman görevliye yardım etmek istemedi ve kadının talebini reddetti .
Görevli , şefin sorununu anlayamadı ve adamı sendikaya bildirdi .
İşçi , görevlinin işini kıskandı ve bunu kadına söyledi .
Görevli , işçiyi görmezden geldi ve adama işine geri dönmesini söyledi .
Editör , marangozdan bir masa sipariş etti ve adamın yarın teslim etmesini istedi .
Marangoz , editörün siparişini aldı ve kadına bir masa yaptı .
Şerif , editörün gazetesini kontrol etmeye çalıştı ve kadından yayınını durdurmasını istedi .
Editör , şerifi her şeyin yolunda olduğuna inandırdı ve yine de adamla ilgili haberi yayınladı .
Şef , her zaman editörün peşindeydi ve kadına işi yeniden yapmasını söylüyordu .
Editör , şefe hiç saygı duymadı ve adama kötü işler verdi .
Aşçı , denetçiyi kandırmaya çalışmış ve kadına farklı bir mutfak göstermiştir .
Denetçi , aşçının dürüst olmadığını biliyordu ve saatler sonra adamın mutfağına gitti .
Tasarımcı , satış görevlisini etkilemek istedi ancak adama kötü bir tasarım gösterdi .
Satış görevlisi , tasarımcıyı bir şeylerin yanlış gittiğine ikna etmeye çalıştı ancak bunun yerine kadını kızdırdı .
Şerif , danışmanın bir videosunu gördü ve kadınla görüşmeye gitti .
Danışman , şerifin soruşturmasını önceden tahmin etti ve delilleri yanlış kullandığı gerekçesiyle adam hakkında şikayette bulundu .
İşten yorgun düşen analist , danışmanı aradı ve kadına söylenmeye başladı .
Danışman , analisti aradı ve adama bir sonraki randevuyu sordu .
Doktor , terziyi tedavi etti ve kadına yaşam tarzını değiştirmesini önerdi .
Terzi , doktoru bekledi ve adama bir takım elbise verdi .
Avukat , görevliyle konuşmaktan hoşlandı ve kadından yarın tekrar gelmesini istedi .
Görevli , kayıp cüzdanı sormak için avukat adamı arıyordu .
Kapıcı , görevliyi tartakladı ve kadının yemeğini aldı .
Görevli , kapıcıya karşı sabırlı davrandı ve adamın hikayesini dinledi .
Nakliyeci , görevlinin boş olduğunu gördü ve kadından yardım istedi .
